Product_ID,Product_Name,Product_Type,Coverage_Type,Premium_Amount,Load_DTS
e3f374d9-2928-4aa1-97c0-5ee08594efcf,Auto Insurance,Premium,Comprehensive,255.68,2025-01-27 03:58:22
554c0e3c-802d-424c-ae03-c3d011d62911,Health Insurance,Enterprise,Basic,358.49,2025-02-08 17:36:50
0967b498-6dd8-4f7d-9b45-e7d2b798166a,Life Insurance,Enterprise,Comprehensive,737.63,2025-01-30 01:33:09
9e85d084-3108-4acd-b606-921cba7d44f8,Health Insurance,Enterprise,Third-Party,717.7,2025-02-18 15:39:53
8b2faa37-1b57-4efb-9ec9-fa857eda968e,Health Insurance,Premium,Third-Party,178.66,2025-03-01 01:07:28
e2ef7c87-5e80-4b63-b5d9-4a946a89e2a4,Travel Insurance,Standard,Third-Party,237.23,2025-01-16 04:29:48
aef6af95-c68b-4c63-b660-a4612e60bd96,Health Insurance,Enterprise,Comprehensive,607.38,2025-02-02 08:18:45
8a6e45d2-6a23-41ea-bf68-515befd68ba3,Travel Insurance,Standard,Third-Party,870.27,2025-02-10 01:51:25
004ed3ea-767a-445a-9d50-2a6d0441af41,Health Insurance,Enterprise,Third-Party,384.52,2025-02-04 19:19:42
48f95b1d-339d-41e2-8454-f08bb729d6d6,Health Insurance,Enterprise,Third-Party,964.08,2025-03-01 10:19:56
e7863273-b4ad-485a-aa43-db6a7663c708,Home Insurance,Premium,Third-Party,554.18,2025-01-29 03:52:14
e14a8b9c-5416-4007-929d-0c2f7c70fba1,Life Insurance,Standard,Third-Party,899.41,2025-01-14 02:24:57
f7d2249d-682d-402c-a21e-40066b1ae477,Health Insurance,Enterprise,Basic,478.9,2025-02-13 01:10:07
445c6620-cb6a-474a-b24d-05d91b04c57e,Auto Insurance,Premium,Third-Party,536.44,2025-03-12 00:41:45
2d9da74d-4be7-45c0-903a-6c9e50f2c9b7,Home Insurance,Standard,Third-Party,364.45,2025-03-10 02:40:26
fd4893a8-bf75-43e9-a52e-88b55694e22f,Auto Insurance,Enterprise,Third-Party,791.82,2025-03-02 01:58:18
0f347038-60ad-432d-a52e-68f717e01701,Auto Insurance,Premium,Comprehensive,531.26,2025-03-02 11:48:30
6a5a5cae-a4d7-4a76-9dc2-119689052ad1,Auto Insurance,Enterprise,Basic,143.98,2025-02-25 04:44:50
0cfff5cf-05cb-420a-b2c4-895d1c26e39e,Life Insurance,Enterprise,Third-Party,285.22,2025-02-04 20:12:01
c66cc430-5ea6-4708-828b-57f504db0896,Home Insurance,Enterprise,Comprehensive,820.16,2025-01-26 14:47:49
32893134-f904-40d6-aeba-7718477b75e1,Auto Insurance,Enterprise,Basic,279.74,2025-02-16 20:22:46
b765ed26-805d-42d6-bfea-da768f736193,Travel Insurance,Premium,Comprehensive,128.49,2025-01-20 13:17:03
ae0c70b3-488e-484a-9640-46af9bd6fed0,Travel Insurance,Standard,Third-Party,108.82,2025-01-30 04:14:26
cb137e44-f6f9-4d59-b545-3ab5c9919351,Life Insurance,Premium,Basic,430.05,2025-02-18 08:33:16
26342e3c-0637-4fd2-a57c-27542213cf90,Home Insurance,Enterprise,Basic,511.18,2025-02-08 05:06:54
2d4b9e35-7807-4c20-944d-6b0e7b3f9271,Travel Insurance,Premium,Third-Party,326.93,2025-03-04 09:58:53
b647d111-81aa-4479-af5f-d7dbb9cd4124,Health Insurance,Standard,Comprehensive,940.46,2025-01-25 05:38:02
63035faf-44a5-4a0a-ab9a-e6542913c22d,Health Insurance,Standard,Comprehensive,517.78,2025-03-03 21:24:32
2864197a-1989-46e3-b5c4-30706fac841a,Travel Insurance,Standard,Basic,565.47,2025-01-17 07:35:20
76a6d314-2b36-41da-86ec-84f1bc7f3edb,Health Insurance,Premium,Basic,162.01,2025-02-03 06:25:14
070b0378-7971-4888-9aa4-1c7909d3b12c,Auto Insurance,Standard,Basic,514.66,2025-02-14 01:03:33
97cf8c72-ff07-49ce-b771-f16343849337,Auto Insurance,Enterprise,Third-Party,625.71,2025-03-02 02:25:46
8864b036-aff0-407f-8f9c-79761c737809,Life Insurance,Premium,Basic,248.26,2025-02-27 20:27:33
b44daf03-6dc6-4436-b004-f9df1c4afe36,Travel Insurance,Standard,Comprehensive,149.6,2025-02-16 06:37:39
9839ff7c-e5f7-430f-9832-3812c4ce397b,Travel Insurance,Enterprise,Third-Party,189.05,2025-02-28 12:14:32
0dee7f4e-9a0b-4a84-bdc3-2f19eb92f720,Travel Insurance,Standard,Comprehensive,839.81,2025-03-02 14:22:15
1898b436-bb85-406d-975d-1640aaa84d2d,Travel Insurance,Premium,Comprehensive,577.01,2025-02-27 00:54:52
870a91da-7778-459b-bda8-d39c70543fa1,Travel Insurance,Standard,Third-Party,291.02,2025-02-26 20:20:39
5f43f9af-dd8d-4c17-b6e0-8e5125f554a0,Travel Insurance,Enterprise,Basic,615.88,2025-01-25 07:43:30
83df09e3-d7c1-4edc-bbe1-7d5c95a11321,Auto Insurance,Enterprise,Comprehensive,693.18,2025-02-06 23:44:04
f034aad2-b602-454d-8944-ecadc8f628fc,Health Insurance,Enterprise,Basic,650.38,2025-02-28 07:56:50
bff2137e-2d66-4146-ae44-fcc8d9b74fb4,Auto Insurance,Enterprise,Comprehensive,522.36,2025-03-01 06:00:50
65588f74-2c4e-4c51-b782-a65e155d29bf,Travel Insurance,Standard,Basic,394.7,2025-02-12 11:40:40
fd2931e7-d8b6-4364-937f-57da286d0d80,Life Insurance,Enterprise,Third-Party,430.15,2025-02-27 14:27:09
1ef7b3f9-c50b-49c9-9525-464048428c07,Auto Insurance,Enterprise,Comprehensive,614.24,2025-03-11 20:29:25
67e8fa4b-d088-41d3-88f1-0156ef9b5222,Auto Insurance,Enterprise,Basic,593.92,2025-02-05 19:27:21
2b1647a3-4363-4050-910c-152a074522e3,Life Insurance,Standard,Third-Party,282.75,2025-01-12 10:57:45
29238a90-a52a-443d-9124-aeecc920e937,Auto Insurance,Premium,Third-Party,748.04,2025-02-19 13:32:45
12a03ebd-d5b2-4661-99bb-51023a2a622d,Life Insurance,Enterprise,Third-Party,778.53,2025-01-15 09:17:14
d6997772-1f29-405b-9815-2e2cf48ab18b,Home Insurance,Standard,Basic,124.4,2025-02-21 10:31:31
65a63d66-c6e1-45d2-bcfa-db52d7239118,Auto Insurance,Enterprise,Comprehensive,415.76,2025-03-13 00:45:34
09df74fc-ba2f-4395-ad79-067070fe574c,Home Insurance,Premium,Basic,720.54,2025-01-22 07:53:00
b9e403c4-4ec0-4a32-86ca-2236943a7574,Travel Insurance,Enterprise,Comprehensive,522.33,2025-01-22 12:48:42
d7a3db7b-4379-4b21-970d-cbed26cb2666,Auto Insurance,Enterprise,Comprehensive,841.77,2025-02-11 09:51:56
6a5b8d46-2340-4527-9e28-c7a5ef4642fd,Health Insurance,Standard,Basic,272.08,2025-01-25 08:55:21
b151b78b-49ed-429e-b02a-0db00cda47a9,Home Insurance,Premium,Third-Party,580.25,2025-02-15 20:44:19
5bcd8f58-ad71-4046-836e-5a1f7f4c4e0e,Home Insurance,Premium,Third-Party,395.78,2025-02-18 11:38:02
2a285d9b-853b-402e-9cdc-8214752e553e,Home Insurance,Standard,Basic,779.51,2025-01-16 20:13:14
2ef1defa-1f25-4784-8f12-0d455be73dfc,Travel Insurance,Enterprise,Comprehensive,406.33,2025-01-28 18:49:12
c3018cf3-90d7-46d8-8dfc-e63381def16e,Life Insurance,Enterprise,Third-Party,237.18,2025-02-12 23:57:22
74b01e03-d7f1-4f7d-8de3-5fca255f8928,Travel Insurance,Standard,Basic,312.28,2025-03-02 17:03:19
9631bdbe-fee2-4a99-8e14-73798afc62ce,Travel Insurance,Enterprise,Third-Party,824.66,2025-03-10 21:44:02
d73838fc-8c74-40e6-9a7b-7a305d6ca719,Life Insurance,Premium,Comprehensive,441.25,2025-02-23 13:17:33
d486845f-60a2-477d-9a4e-fb62c9c1f3b7,Health Insurance,Enterprise,Third-Party,452.36,2025-03-07 14:44:36
b85d73fb-6ced-4369-a3f5-d7f434674876,Home Insurance,Enterprise,Comprehensive,555.15,2025-02-02 10:26:30
af181ff2-c4ab-4de0-8a5c-538d371394f2,Auto Insurance,Standard,Third-Party,692.91,2025-01-04 09:24:06
922bb83c-6289-4df7-ad71-4eee11cdadbe,Auto Insurance,Standard,Basic,103.17,2025-03-05 07:34:53
1bbc8414-696c-45dd-bb4a-cc052ae03625,Travel Insurance,Enterprise,Third-Party,318.85,2025-01-30 11:51:06
e28cad61-745e-43c3-8792-78961e8be357,Auto Insurance,Premium,Basic,658.22,2025-01-03 10:10:24
6bd60632-503d-466b-8154-b1b55b1bae4c,Life Insurance,Enterprise,Basic,573.4,2025-02-22 20:36:35
1790d745-cebd-4c5d-a7fa-046f4e0ff107,Travel Insurance,Premium,Comprehensive,199.34,2025-01-14 04:43:55
84a15b75-1f0d-4a99-9a99-e115f13390d8,Travel Insurance,Enterprise,Third-Party,595.27,2025-02-10 20:11:57
3c50df2e-4b39-4ca5-88e6-0732da37efd4,Life Insurance,Standard,Basic,156.68,2025-03-11 22:04:55
6a8634ee-d4c7-401e-bdb4-761fdffe6c1c,Auto Insurance,Premium,Comprehensive,710.88,2025-02-27 15:52:25
7b77e3a3-e7b5-4625-91f0-99663af51010,Home Insurance,Premium,Comprehensive,235.49,2025-01-15 16:00:57
3fe37dc4-acea-4ecf-8c78-edbb241b4016,Health Insurance,Standard,Comprehensive,728.83,2025-01-29 06:28:47
1693d546-063f-4cf9-ae65-4841b7b658a8,Travel Insurance,Standard,Third-Party,580.76,2025-03-11 00:48:46
1a259152-458b-4416-b78c-06fc907361ef,Auto Insurance,Premium,Comprehensive,559.58,2025-01-24 06:46:30
f2c5eff9-d7ed-43a8-92fb-ac4654e5bfe0,Life Insurance,Premium,Third-Party,994.24,2025-02-08 15:19:07
d1f0b943-2ecc-4d90-8381-e59f3a9f77f4,Home Insurance,Premium,Basic,461.05,2025-03-03 06:04:37
643bf1bf-3152-4c96-b1af-af3d2950b838,Auto Insurance,Standard,Comprehensive,120.44,2025-01-23 02:21:21
8a25ffe3-45a2-47b1-a85b-d48e815c9c7f,Health Insurance,Premium,Comprehensive,189.79,2025-01-18 16:07:51
